record_id,msisdn,subscriber_name,city,activation_date
SUB-0101,8227250029,Ishani Lalla,Delhi,2022-03-22T14:00:00+05:30
SUB-0102,8843189740,Yashawini Suresh,Delhi,2022-05-08T13:00:00+05:30
SUB-0103,8065255396,Ladli Behl,Delhi,2016-12-30T15:00:00+05:30
SUB-0104,7616371951,Charita Sampath,Delhi,2019-10-31T14:00:00+05:30
SUB-0105,8485143212,Manya Basu,Delhi,2024-08-25T22:00:00+05:30
SUB-0106,8823052386,Aadhya Nath,Delhi,2023-12-10T20:00:00+05:30
SUB-0107,8382865694,Dhruv Lala,Delhi,2020-09-14T18:00:00+05:30
SUB-0108,8251165584,Gaurika Sathe,Delhi,2024-05-09T14:00:00+05:30
SUB-0109,6194464851,Tanay Andra,Delhi,2020-10-03T15:00:00+05:30
SUB-0110,8596852538,Daksh Borra,Delhi,2020-10-13T12:00:00+05:30
SUB-0111,7187698223,Falguni Banik,Delhi,2016-12-01T13:00:00+05:30
SUB-0112,6996582331,Reva Divan,Delhi,2021-09-06T13:00:00+05:30
SUB-0113,6479900999,Upasna Datta,Delhi,2023-12-09T16:00:00+05:30
SUB-0114,8572218538,Anvi Morar,Delhi,2019-01-11T22:00:00+05:30
SUB-0115,9371826549,Qabil Baral,Delhi,2022-08-25T23:00:00+05:30
SUB-0116,9742990720,Praneel Kade,Delhi,2016-11-17T00:00:00+05:30
SUB-0117,7469027111,Kritika Chauhan,Delhi,2018-12-20T00:00:00+05:30
SUB-0118,6535545166,Raagini Ray,Delhi,2017-05-24T00:00:00+05:30
SUB-0119,8047654190,Garima Khalsa,Delhi,2023-05-10T17:00:00+05:30
SUB-0120,7914834602,Finn Goel,Delhi,2018-10-23T12:00:00+05:30
SUB-0121,8260450704,Samuel Bakshi,Delhi,2019-06-30T20:00:00+05:30
SUB-0122,7538776094,Hemal Natarajan,Delhi,2024-08-20T14:00:00+05:30
SUB-0123,7888064876,Tripti Kothari,Delhi,2023-07-10T19:00:00+05:30
SUB-0124,9275070531,Anjali Chopra,Bengaluru,2019-01-03T00:00:00+05:30
SUB-0125,6937699779,Urishilla Pai,Bengaluru,2017-09-06T21:00:00+05:30
SUB-0126,7268526587,Nirja Sarin,Bengaluru,2018-11-01T12:00:00+05:30
SUB-0127,9714540957,Dalbir Rajan,Bengaluru,2017-03-20T13:00:00+05:30
SUB-0128,9342059358,Girish Kumar,Bengaluru,2019-12-25T18:00:00+05:30
SUB-0129,7919104175,Anthony Sarin,Bengaluru,2017-10-20T15:00:00+05:30
SUB-0130,6770012075,Aadi Venkatesh,Bengaluru,2018-05-02T21:00:00+05:30
SUB-0131,6223553521,Indira Patla,Bengaluru,2024-09-23T00:00:00+05:30
SUB-0132,6122729730,Upasna Boase,Bengaluru,2020-05-22T14:00:00+05:30
SUB-0133,9744215949,Noah Murthy,Bengaluru,2020-12-11T23:00:00+05:30
SUB-0134,8116559423,David Mital,Bengaluru,2023-02-21T21:00:00+05:30
SUB-0135,8332441743,Zehaan More,Bengaluru,2024-01-16T16:00:00+05:30
SUB-0136,8527357736,Tara Narain,Bengaluru,2016-10-18T19:00:00+05:30
SUB-0137,8772528373,Saksham Merchant,Bengaluru,2021-07-14T15:00:00+05:30
