record_id,ifsc,account_number,bank_name,holder_name,holder_type,opened_on
KYC-0022,ZGDV0060249,95785738510033,Godavari Bank,Finn Shere,person,2018-12-22T13:34:00+05:30
KYC-0023,ZKVR0320968,76508528899717,Kaveri Bank,Ranveer Madan,person,2020-07-12T17:44:00+05:30
KYC-0024,ZARV0495419,52382165134,Aravali Bank,Imaran Nair,person,2017-03-24T12:33:00+05:30
KYC-0025,ZKVR0587534,7290333581499695,Kaveri Bank,Ayaan Karnik,person,2023-12-18T11:41:00+05:30
KYC-0026,ZARV0297900,81086604544,Aravali Bank,Amol Mutti,person,2012-05-31T15:54:00+05:30
KYC-0027,ZGDV0851267,3896253381492550,Godavari Bank,Sai Loyal,person,2021-06-18T15:46:00+05:30
KYC-0028,ZARV0210017,157887662652,Aravali Bank,Bhavini Kakar,person,2023-09-11T13:15:00+05:30
KYC-0029,ZNMD0555777,7846825674975564,Narmada Bank,Ekaraj Koshy,person,2014-10-01T12:17:00+05:30
KYC-0030,ZNMD0832635,5760355546659049,Narmada Bank,Karan Sangha,person,2014-12-12T16:58:00+05:30
KYC-0031,ZNMD0520427,8802759075214784,Narmada Bank,Sudiksha Pathak,person,2021-02-03T16:53:00+05:30
KYC-0032,ZNMD0544711,43197849240367,Narmada Bank,Januja Devi,person,2017-11-30T16:35:00+05:30
KYC-0033,ZKVR0669376,4131711564511189,Kaveri Bank,Yatin Chand,person,2019-05-07T17:02:00+05:30
KYC-0034,ZGDV0055332,40104018190,Godavari Bank,Arunima Choudhary,person,2013-03-29T11:39:00+05:30
KYC-0035,ZARV0979572,585873296710,Aravali Bank,Ganga Dutta,person,2019-08-12T15:00:00+05:30
KYC-0036,ZGDV0891267,55801883709482,Godavari Bank,Siddharth Bhatt,person,2021-08-18T12:59:00+05:30
KYC-0037,ZARV0105785,89505366673,Aravali Bank,Vivaan Wadhwa,person,2021-06-16T12:49:00+05:30
KYC-0038,ZGDV0524175,80468702410,Godavari Bank,Ladli Apte,person,2013-09-12T14:45:00+05:30
KYC-0039,ZARV0095529,4584116110641260,Aravali Bank,Dakshesh Yadav,person,2020-07-15T15:17:00+05:30
KYC-0040,ZNMD0977718,1059547734120898,Narmada Bank,Dayita Memon,person,2013-11-13T11:57:00+05:30
KYC-0041,ZARV0104756,56663037718416,Aravali Bank,Vasana Aggarwal,person,2016-04-26T15:16:00+05:30
KYC-0042,ZGDV0197465,51846197404069,Godavari Bank,Karan Tella,person,2018-08-17T15:45:00+05:30
KYC-0043,ZKVR0201615,135967096137,Kaveri Bank,Hemal Tripathi,person,2012-08-01T11:52:00+05:30
KYC-0044,ZKVR0604643,67609492345319,Kaveri Bank,Damyanti Misra,person,2017-01-29T11:20:00+05:30
KYC-0045,ZGDV0279182,64596092578,Godavari Bank,Yashica Issac,person,2023-09-19T10:43:00+05:30
KYC-0046,ZGDV0698481,214148069153,Godavari Bank,Gaurika Zacharia,person,2022-07-02T13:47:00+05:30
KYC-0047,ZNMD0007921,8521044047953883,Narmada Bank,Zilmil Acharya,person,2012-03-02T15:17:00+05:30
KYC-0048,ZGDV0403647,419432812783,Godavari Bank,Radhika Mohanty,person,2013-02-20T13:36:00+05:30
KYC-0049,ZKVR0203221,22444058931286,Kaveri Bank,Pallavi Bail,person,2023-02-08T11:58:00+05:30
KYC-0050,ZNMD0381333,4477203544479553,Narmada Bank,Ishwar Kannan,person,2012-04-28T17:59:00+05:30
KYC-0051,ZKVR0019223,29782342226,Kaveri Bank,Aarini Bobal,person,2017-12-06T14:19:00+05:30
KYC-0052,ZNMD0944826,81557715367,Narmada Bank,Ayushman Karnik,person,2016-07-25T14:15:00+05:30
KYC-0053,ZNMD0334951,5452172939697416,Narmada Bank,Bahadurjit Balay,person,2013-07-11T11:43:00+05:30
KYC-0054,ZARV0467366,32860287707,Aravali Bank,Noah Bobal,person,2018-07-29T16:35:00+05:30
KYC-0055,ZNMD0700680,76123220205244,Narmada Bank,Jagat Mallick,person,2022-07-07T11:57:00+05:30
KYC-0056,ZARV0704525,70537264697,Aravali Bank,Watika Kala,person,2018-12-27T14:30:00+05:30
KYC-0057,ZNMD0742216,35106283996316,Narmada Bank,Keya Solanki,person,2020-04-08T10:36:00+05:30
KYC-0058,ZKVR0195986,7166226806464397,Kaveri Bank,Champak Chatterjee,person,2022-04-07T10:45:00+05:30
KYC-0059,ZNMD0433621,1151570151745861,Narmada Bank,Siddharth Roy,person,2021-10-14T16:09:00+05:30
KYC-0060,ZGDV0264737,650442899703,Godavari Bank,Chandran Bhat,person,2020-02-29T10:58:00+05:30
KYC-0061,ZGDV0204163,688433055909,Godavari Bank,Darika Kothari,person,2013-12-30T15:33:00+05:30
KYC-0062,ZGDV0842838,6489677170416477,Godavari Bank,Udarsh Dey,person,2012-07-04T11:48:00+05:30
KYC-0063,ZGDV0740090,554404749799,Godavari Bank,Girish Minhas,person,2014-02-01T15:12:00+05:30
KYC-0064,ZKVR0057499,8469177091980089,Kaveri Bank,Janani Bhardwaj,person,2021-03-25T11:22:00+05:30
KYC-0065,ZGDV0534445,96268334386,Godavari Bank,Azaan Murthy,person,2021-11-17T10:08:00+05:30
KYC-0066,ZKVR0494635,70494902607167,Kaveri Bank,Barkha Bedi,person,2012-06-27T12:21:00+05:30
KYC-0067,ZNMD0974578,2920955977193273,Narmada Bank,Waida Thakkar,person,2017-12-17T11:17:00+05:30
KYC-0068,ZKVR0475478,94793652477023,Kaveri Bank,Farhan Bhandari,person,2017-06-22T13:14:00+05:30
KYC-0069,ZARV0535022,3161426464340494,Aravali Bank,Yashoda Buch,person,2016-11-17T17:40:00+05:30
KYC-0070,ZNMD0785065,25966089888,Narmada Bank,Girik Biswas,person,2015-02-15T15:49:00+05:30
KYC-0071,ZKVR0186058,346793746876,Kaveri Bank,Bahadurjit Keer,person,2012-06-09T13:05:00+05:30
KYC-0072,ZGDV0590707,2252970344558259,Godavari Bank,Tamanna Dar,person,2017-05-23T10:59:00+05:30
KYC-0073,ZGDV0663413,2783592050500040,Godavari Bank,Chaitaly Saini,person,2013-01-04T15:19:00+05:30
KYC-0074,ZARV0029795,46874218169,Aravali Bank,Yutika Mutti,person,2019-12-22T14:50:00+05:30
KYC-0075,ZKVR0165204,406941749375,Kaveri Bank,Kalpit Jayaraman,person,2022-08-20T17:36:00+05:30
KYC-0076,ZKVR0623117,45125961017,Kaveri Bank,Naksh Khare,person,2014-11-15T17:10:00+05:30
KYC-0077,ZNMD0897171,102240871446,Narmada Bank,Libni Randhawa,person,2013-04-14T11:32:00+05:30
KYC-0078,ZGDV0352846,36152559783641,Godavari Bank,Vasudha Mutti,person,2014-10-16T14:20:00+05:30
KYC-0079,ZKVR0231395,59372838131746,Kaveri Bank,Bina Andra,person,2021-12-22T12:57:00+05:30
KYC-0080,ZARV0381318,17852426719542,Aravali Bank,Veer Chaudhry,person,2021-03-12T11:32:00+05:30
KYC-0081,ZKVR0268028,46154561864689,Kaveri Bank,Rahul Sharma,person,2016-12-29T15:47:00+05:30
KYC-0082,ZKVR0382335,71271425817,Kaveri Bank,Yash Krishnamurthy,person,2023-06-02T16:48:00+05:30
KYC-0083,ZARV0032840,61251840979817,Aravali Bank,Atharv Chanda,person,2019-06-29T10:28:00+05:30
KYC-0084,ZGDV0554144,22361161260,Godavari Bank,Siddharth Malhotra,person,2020-10-26T13:52:00+05:30
KYC-0085,ZGDV0826219,42443757108,Godavari Bank,Anthony Aggarwal,person,2016-08-25T16:12:00+05:30
KYC-0086,ZARV0718980,52382815294,Aravali Bank,Timothy Sane,person,2012-07-24T14:31:00+05:30
KYC-0087,ZKVR0469965,4576041253223734,Kaveri Bank,Bishakha Dixit,person,2018-11-11T17:48:00+05:30
KYC-0088,ZKVR0907281,47329594462,Kaveri Bank,Ethan Sani,person,2014-06-22T17:00:00+05:30
KYC-0089,ZGDV0711806,21409016372851,Godavari Bank,Mitesh Patla,person,2017-05-11T12:22:00+05:30
KYC-0090,ZARV0549018,1876916508369634,Aravali Bank,Henry Krish,person,2018-10-09T13:52:00+05:30
KYC-0091,ZGDV0062632,8314547012496699,Godavari Bank,Charan Pandya,person,2023-04-09T17:47:00+05:30
KYC-0092,ZKVR0711706,8874392664401440,Kaveri Bank,Tanvi Dubey,person,2016-08-04T15:25:00+05:30
KYC-0093,ZKVR0261171,4350429360999554,Kaveri Bank,Jagat Gaba,person,2023-04-18T12:57:00+05:30
KYC-0094,ZNMD0923903,55768331953,Narmada Bank,Gaurang Sachar,person,2021-01-21T12:39:00+05:30
KYC-0095,ZGDV0862515,533932377059,Godavari Bank,Kritika Loke,person,2014-10-22T17:18:00+05:30
KYC-0096,ZGDV0772805,48259683214097,Godavari Bank,Gauri Chokshi,person,2018-02-12T17:55:00+05:30
KYC-0097,ZGDV0311513,76471285562876,Godavari Bank,Orinder Murthy,person,2020-03-09T12:01:00+05:30
KYC-0098,ZKVR0958131,59747257773,Kaveri Bank,Tejas Vaidya,person,2023-02-18T11:05:00+05:30
KYC-0099,ZARV0770366,39690946190896,Aravali Bank,Devika Rajan,person,2019-08-27T11:53:00+05:30
KYC-0100,ZARV0108681,1518796178700345,Aravali Bank,Ikshita Kumar,person,2020-05-14T10:15:00+05:30
KYC-0101,ZNMD0112876,65105240589,Narmada Bank,Anya Sarin,person,2023-05-11T12:42:00+05:30
KYC-0102,ZKVR0847322,8901945755050766,Kaveri Bank,Guneet Patla,person,2020-04-13T11:24:00+05:30
KYC-0103,ZKVR0827097,70129869916408,Kaveri Bank,Upasna Boase,person,2014-11-09T10:03:00+05:30
KYC-0104,ZNMD0658935,362807781246,Narmada Bank,Oni Murthy,person,2013-02-26T15:50:00+05:30
KYC-0105,ZARV0610823,459701003008,Aravali Bank,David Mital,person,2016-01-12T17:24:00+05:30
KYC-0106,ZNMD0046497,944581900513,Narmada Bank,Tara Narain,person,2015-04-18T17:37:00+05:30
KYC-0107,ZARV0318776,6258421665212313,Aravali Bank,Devansh Handa,person,2021-08-12T15:29:00+05:30
KYC-0108,ZNMD0235052,22140184865,Narmada Bank,Lanka Trading Pvt Ltd,organization,2021-04-17T12:01:00+05:30
KYC-0109,ZGDV0082522,11286577982581,Godavari Bank,Yohannan Logistics Pvt Ltd,organization,2012-01-17T14:33:00+05:30
KYC-0110,ZNMD0152141,2950914371513095,Narmada Bank,Khatri Infra Pvt Ltd,organization,2022-02-07T17:14:00+05:30
KYC-0111,ZKVR0617354,78564396525,Kaveri Bank,Bhardwaj Services Pvt Ltd,organization,2019-12-01T17:37:00+05:30
KYC-0112,ZKVR0606389,31265741521176,Kaveri Bank,Sami Infra Pvt Ltd,organization,2014-04-06T14:49:00+05:30
KYC-0113,ZNMD0317648,27115894178,Narmada Bank,Goswami Services Pvt Ltd,organization,2014-07-04T10:54:00+05:30
KYC-0114,ZNMD0581477,71714646097808,Narmada Bank,Borah Services Pvt Ltd,organization,2015-12-02T15:37:00+05:30
KYC-0115,ZKVR0707741,52276894557306,Kaveri Bank,Yogi Traders,organization,2020-02-25T13:47:00+05:30
KYC-0116,ZARV0914534,3153815798031736,Aravali Bank,Raja Services Pvt Ltd,organization,2015-02-06T11:44:00+05:30
KYC-0117,ZARV0094428,8461993257588276,Aravali Bank,Barad Trading Pvt Ltd,organization,2015-06-08T15:06:00+05:30
KYC-0118,ZARV0711680,19004411722860,Aravali Bank,Salvi Trading Pvt Ltd,organization,2016-11-27T13:44:00+05:30
KYC-0119,ZARV0114155,27248027768,Aravali Bank,Raghavan Trading Pvt Ltd,organization,2014-05-22T13:47:00+05:30
