txn_id,from_ifsc,from_account,to_ifsc,to_account,amount_inr,mode,timestamp
TXN-000038,ZKVR0617354,78564396525,ZGDV0279182,64596092578,29500.00,NEFT,2025-01-03T12:07:00+05:30
TXN-000039,ZGDV0928130,906180924966,ZKVR0264416,2920955977193273,55000.00,NEFT,2025-01-03T12:46:00+05:30
TXN-000040,ZKVR0890873,2960023587937843,ZKVR0316645,155592538756,2810.00,IMPS,2025-01-03T14:12:00+05:30
TXN-000041,ZARV0254988,88934470906800,ZGDV0543292,3337619347987285,97500.00,UPI,2025-01-03T14:15:00+05:30
TXN-000042,ZNMD0700572,31986695700793,ZNMD0123026,409772186664,2490.00,IMPS,2025-01-03T16:47:00+05:30
TXN-000043,ZARV0095529,4584116110641260,ZARV0105785,89505366673,4990.00,UPI,2025-01-03T16:55:00+05:30
TXN-000044,ZNMD0235079,2525131583921333,ZGDV0914516,7027511489681119,240.00,UPI,2025-01-03T16:56:00+05:30
TXN-000045,ZNMD0324711,20354713714,ZGDV0842838,6489677170416477,24000.00,UPI,2025-01-03T17:16:00+05:30
TXN-000046,ZGDV0524175,80468702410,ZGDV0698481,214148069153,1710.00,IMPS,2025-01-03T19:29:00+05:30
TXN-000047,ZKVR0604643,67609492345319,ZARV0105785,89505366673,160.00,IMPS,2025-01-03T19:52:00+05:30
TXN-000048,ZNMD0520427,8802759075214784,ZNMD0977718,1059547734120898,3280.00,IMPS,2025-01-03T22:45:00+05:30
TXN-000049,ZGDV0543292,3337619347987285,ZARV0556607,8182324692435618,94100.00,UPI,2025-01-04T10:15:00+05:30
TXN-000050,ZARV0745949,93522187504411,ZKVR0711349,311217374552,10800.00,IMPS,2025-01-04T10:16:00+05:30
TXN-000051,ZNMD0484562,198354875355,ZARV0617958,49173696680314,30000.00,UPI,2025-01-04T11:13:00+05:30
TXN-000052,ZNMD0778339,65642075982039,ZGDV0050806,2296589735015940,1940.00,UPI,2025-01-04T11:46:00+05:30
TXN-000053,ZARV0745844,778088674514,ZKVR0278239,273925885283,22300.00,UPI,2025-01-04T11:50:00+05:30
TXN-000054,ZARV0556607,8182324692435618,ZNMD0235052,22140184865,91400.00,UPI,2025-01-04T13:15:00+05:30
TXN-000055,ZKVR0469965,4576041253223734,ZGDV0050806,2296589735015940,650.00,IMPS,2025-01-04T13:41:00+05:30
TXN-000056,ZKVR0329204,4482253497910906,ZGDV0914516,7027511489681119,2140.00,IMPS,2025-01-04T17:39:00+05:30
TXN-000057,ZNMD0853761,95412555046339,ZNMD0123026,409772186664,14300.00,UPI,2025-01-04T19:15:00+05:30
TXN-000058,ZARV0979572,585873296710,ZKVR0546415,36465882156067,5000.00,IMPS,2025-01-04T20:30:00+05:30
TXN-000059,ZGDV0489435,4267221805213723,ZGDV0264737,650442899703,22000.00,UPI,2025-01-04T21:50:00+05:30
TXN-000060,ZARV0086950,10465577896,ZGDV0955625,70494902607167,2570.00,UPI,2025-01-05T08:51:00+05:30
TXN-000061,ZARV0007961,649524061246,ZNMD0498591,530299490847,1300.00,UPI,2025-01-05T10:48:00+05:30
TXN-000062,ZNMD0778339,65642075982039,ZKVR0261171,4350429360999554,6370.00,UPI,2025-01-05T18:30:00+05:30
TXN-000063,ZNMD0676603,445065079507,ZGDV0121914,63592870665356,2070.00,IMPS,2025-01-05T21:46:00+05:30
TXN-000064,ZNMD0990233,7781796239256157,ZGDV0264737,650442899703,1020.00,UPI,2025-01-05T22:00:00+05:30
TXN-000065,ZGDV0199050,13791179552,ZKVR0122101,1416049978764998,1340.00,UPI,2025-01-06T09:28:00+05:30
TXN-000066,ZARV0319947,7357326534972855,ZKVR0278239,273925885283,2680.00,IMPS,2025-01-06T13:57:00+05:30
TXN-000067,ZKVR0186058,346793746876,ZNMD0947097,30344625994126,7370.00,IMPS,2025-01-06T14:28:00+05:30
TXN-000068,ZNMD0990233,7781796239256157,ZGDV0575368,80258747958,16200.00,UPI,2025-01-06T14:41:00+05:30
TXN-000069,ZARV0613886,29424441603891,ZKVR0231395,59372838131746,4300.00,UPI,2025-01-06T17:05:00+05:30
TXN-000070,ZGDV0575368,80258747958,ZGDV0836188,81300741571,480.00,UPI,2025-01-06T17:08:00+05:30
TXN-000071,ZARV0104756,56663037718416,ZNMD0977718,1059547734120898,2600.00,UPI,2025-01-06T22:03:00+05:30
TXN-000072,ZKVR0469965,4576041253223734,ZKVR0261171,4350429360999554,1150.00,UPI,2025-01-07T13:03:00+05:30
TXN-000073,ZNMD0700572,31986695700793,ZNMD0123026,409772186664,1090.00,IMPS,2025-01-07T13:33:00+05:30
TXN-000074,ZARV0617958,49173696680314,ZKVR0201615,135967096137,8600.00,UPI,2025-01-07T14:09:00+05:30
TXN-000075,ZGDV0279182,64596092578,ZGDV0403647,419432812783,3070.00,IMPS,2025-01-07T15:08:00+05:30
TXN-000076,ZNMD0524253,552337400089,ZKVR0316645,155592538756,1220.00,UPI,2025-01-07T15:50:00+05:30
TXN-000077,ZNMD0007921,8521044047953883,ZGDV0403647,419432812783,1460.00,IMPS,2025-01-07T18:29:00+05:30
TXN-000078,ZARV0396941,8956830896202038,ZARV0831528,81660304011,1200.00,UPI,2025-01-07T20:37:00+05:30
TXN-000079,ZARV0396941,8956830896202038,ZGDV0050806,2296589735015940,900.00,IMPS,2025-01-08T09:44:00+05:30
TXN-000080,ZKVR0604643,67609492345319,ZKVR0201615,135967096137,1040.00,IMPS,2025-01-08T10:04:00+05:30
TXN-000081,ZARV0495419,52382165134,ZGDV0060249,95785738510033,36000.00,UPI,2025-01-08T16:39:00+05:30
TXN-000082,ZNMD0676603,445065079507,ZGDV0914516,7027511489681119,490.00,UPI,2025-01-08T19:11:00+05:30
TXN-000083,ZARV0979572,585873296710,ZKVR0201615,135967096137,3370.00,UPI,2025-01-09T10:45:00+05:30
TXN-000084,ZNMD0007921,8521044047953883,ZARV0105785,89505366673,2290.00,UPI,2025-01-09T13:52:00+05:30
TXN-000085,ZKVR0268028,46154561864689,ZKVR0474112,38690428120812,3160.00,UPI,2025-01-09T18:12:00+05:30
TXN-000086,ZARV0745949,93522187504411,ZNMD0498591,530299490847,180.00,UPI,2025-01-09T19:41:00+05:30
TXN-000087,ZKVR0546415,36465882156067,ZARV0617958,49173696680314,35000.00,UPI,2025-01-09T21:01:00+05:30
TXN-000088,ZGDV0711806,21409016372851,ZKVR0261171,4350429360999554,800.00,UPI,2025-01-09T22:15:00+05:30
TXN-000089,ZNMD0544711,43197849240367,ZGDV0055332,40104018190,6360.00,UPI,2025-01-10T09:01:00+05:30
TXN-000090,ZARV0613886,29424441603891,ZNMD0123026,409772186664,1220.00,IMPS,2025-01-10T09:19:00+05:30
TXN-000091,ZNMD0676603,445065079507,ZGDV0121914,63592870665356,890.00,UPI,2025-01-10T10:15:00+05:30
TXN-000092,ZGDV0489435,4267221805213723,ZGDV0836188,81300741571,23400.00,IMPS,2025-01-10T11:49:00+05:30
TXN-000093,ZKVR0669376,4131711564511189,ZGDV0055332,40104018190,1520.00,IMPS,2025-01-10T18:38:00+05:30
TXN-000094,ZKVR0639665,81715651721,ZARV0823959,79149726467227,890.00,UPI,2025-01-10T20:36:00+05:30
TXN-000095,ZARV0150108,10564200188213,ZKVR0231395,59372838131746,5900.00,UPI,2025-01-10T21:44:00+05:30
TXN-000096,ZGDV0060249,95785738510033,ZNMD0110114,5305601891569179,14300.00,UPI,2025-01-10T21:45:00+05:30
TXN-000097,ZARV0880251,3842947850229483,ZKVR0316645,155592538756,630.00,UPI,2025-01-11T13:44:00+05:30
TXN-000098,ZGDV0851267,3896253381492550,ZKVR0122101,1416049978764998,23900.00,UPI,2025-01-11T13:58:00+05:30
TXN-000099,ZARV0094460,24117828051503,ZKVR0278239,273925885283,8500.00,UPI,2025-01-11T15:52:00+05:30
TXN-000100,ZGDV0860546,6445806238546018,ZKVR0231395,59372838131746,2060.00,IMPS,2025-01-11T16:02:00+05:30
TXN-000101,ZARV0210017,157887662652,ZKVR0122101,1416049978764998,22500.00,UPI,2025-01-11T21:39:00+05:30
TXN-000102,ZARV0007961,649524061246,ZKVR0316645,155592538756,2390.00,UPI,2025-01-11T22:04:00+05:30
TXN-000103,ZKVR0189294,281714034673,ZNMD0123026,409772186664,24200.00,IMPS,2025-01-11T22:53:00+05:30
TXN-000104,ZNMD0587919,365036192686,ZGDV0955625,70494902607167,2470.00,UPI,2025-01-12T09:11:00+05:30
TXN-000105,ZKVR0329204,4482253497910906,ZGDV0121914,63592870665356,740.00,UPI,2025-01-12T11:32:00+05:30
TXN-000106,ZGDV0489435,4267221805213723,ZGDV0836188,81300741571,8700.00,UPI,2025-01-12T13:09:00+05:30
TXN-000107,ZARV0880251,3842947850229483,ZARV0519176,95519852701,5500.00,UPI,2025-01-12T15:13:00+05:30
TXN-000108,ZARV0919996,386172292609,ZGDV0955625,70494902607167,1910.00,IMPS,2025-01-12T15:41:00+05:30
TXN-000109,ZKVR0669376,4131711564511189,ZKVR0546415,36465882156067,3800.00,UPI,2025-01-12T18:10:00+05:30
TXN-000110,ZGDV0575368,80258747958,ZKVR0316645,155592538756,550.00,IMPS,2025-01-12T21:30:00+05:30
TXN-000111,ZNMD0778339,65642075982039,ZNMD0110114,5305601891569179,2630.00,UPI,2025-01-13T12:25:00+05:30
TXN-000112,ZNMD0532558,22645406307458,ZGDV0264737,650442899703,20800.00,IMPS,2025-01-13T14:10:00+05:30
TXN-000113,ZGDV0060249,95785738510033,ZNMD0110114,5305601891569179,16100.00,UPI,2025-01-13T15:18:00+05:30
TXN-000114,ZARV0297900,81086604544,ZNMD0110114,5305601891569179,13500.00,UPI,2025-01-13T16:22:00+05:30
TXN-000115,ZARV0278780,5585485901880963,ZARV0831528,81660304011,730.00,UPI,2025-01-13T18:18:00+05:30
TXN-000116,ZNMD0696084,6446483955427888,ZGDV0121914,63592870665356,580.00,IMPS,2025-01-13T20:54:00+05:30
TXN-000117,ZKVR0587534,7290333581499695,ZGDV0050806,2296589735015940,11500.00,UPI,2025-01-13T20:58:00+05:30
TXN-000118,ZKVR0604643,67609492345319,ZARV0105785,89505366673,9020.00,UPI,2025-01-14T09:32:00+05:30
TXN-000119,ZGDV0279182,64596092578,ZGDV0698481,214148069153,880.00,IMPS,2025-01-14T09:50:00+05:30
TXN-000120,ZARV0210017,157887662652,ZNMD0110114,5305601891569179,22100.00,UPI,2025-01-14T10:30:00+05:30
TXN-000121,ZGDV0197465,51846197404069,ZKVR0201615,135967096137,4980.00,UPI,2025-01-14T14:29:00+05:30
TXN-000122,ZARV0278780,5585485901880963,ZKVR0122101,1416049978764998,330.00,UPI,2025-01-14T14:32:00+05:30
TXN-000123,ZARV0095529,4584116110641260,ZKVR0201615,135967096137,1110.00,IMPS,2025-01-14T20:14:00+05:30
TXN-000124,ZKVR0669376,4131711564511189,ZNMD0484562,198354875355,5100.00,UPI,2025-01-14T21:48:00+05:30
TXN-000125,ZKVR0138643,6435835492797107,ZNMD0832635,5760355546659049,395000.00,RTGS,2025-01-15T10:53:00+05:30
TXN-000126,ZARV0880251,3842947850229483,ZGDV0842838,6489677170416477,600.00,UPI,2025-01-15T13:01:00+05:30
TXN-000127,ZKVR0982026,84187635538,ZNMD0498591,530299490847,8800.00,UPI,2025-01-15T14:32:00+05:30
TXN-000128,ZGDV0711806,21409016372851,ZARV0831528,81660304011,1120.00,UPI,2025-01-15T14:52:00+05:30
TXN-000129,ZKVR0264416,2920955977193273,ZNMD0947097,30344625994126,820.00,UPI,2025-01-15T16:08:00+05:30
TXN-000130,ZGDV0060249,95785738510033,ZKVR0122101,1416049978764998,4100.00,UPI,2025-01-15T16:49:00+05:30
TXN-000131,ZKVR0669376,4131711564511189,ZGDV0698481,214148069153,2780.00,UPI,2025-01-15T16:50:00+05:30
TXN-000132,ZGDV0891267,55801883709482,ZGDV0698481,214148069153,2000.00,UPI,2025-01-15T17:15:00+05:30
TXN-000133,ZARV0613886,29424441603891,ZKVR0231395,59372838131746,1780.00,IMPS,2025-01-15T17:32:00+05:30
TXN-000134,ZGDV0543292,3337619347987285,ZNMD0947097,30344625994126,14300.00,UPI,2025-01-15T19:46:00+05:30
TXN-000135,ZKVR0711349,311217374552,ZNMD0498591,530299490847,2230.00,UPI,2025-01-15T21:17:00+05:30
TXN-000136,ZKVR0264416,2920955977193273,ZKVR0278239,273925885283,3810.00,UPI,2025-01-15T22:00:00+05:30
TXN-000137,ZARV0919996,386172292609,ZKVR0278239,273925885283,370.00,UPI,2025-01-16T09:08:00+05:30
TXN-000138,ZKVR0982026,84187635538,ZGDV0842838,6489677170416477,24600.00,UPI,2025-01-16T11:35:00+05:30
TXN-000139,ZNMD0484562,198354875355,ZARV0617958,49173696680314,26000.00,UPI,2025-01-16T12:57:00+05:30
TXN-000140,ZKVR0186058,346793746876,ZGDV0543292,3337619347987285,52500.00,IMPS,2025-01-16T13:58:00+05:30
TXN-000141,ZKVR0186058,346793746876,ZGDV0543292,3337619347987285,26500.00,IMPS,2025-01-16T14:05:00+05:30
TXN-000142,ZKVR0186058,346793746876,ZGDV0955625,70494902607167,1050.00,UPI,2025-01-16T15:13:00+05:30
TXN-000143,ZKVR0711349,311217374552,ZARV0745949,93522187504411,10800.00,UPI,2025-01-16T17:21:00+05:30
TXN-000144,ZNMD0544711,43197849240367,ZNMD0977718,1059547734120898,530.00,UPI,2025-01-16T18:00:00+05:30
TXN-000145,ZARV0599465,26965979895120,ZGDV0955625,70494902607167,1210.00,IMPS,2025-01-16T18:28:00+05:30
TXN-000146,ZGDV0543292,3337619347987285,ZARV0556607,8182324692435618,50800.00,UPI,2025-01-16T21:58:00+05:30
TXN-000147,ZNMD0832635,5760355546659049,ZNMD0235052,22140184865,360000.00,NEFT,2025-01-16T22:26:00+05:30
TXN-000148,ZKVR0669376,4131711564511189,ZNMD0484562,198354875355,3100.00,IMPS,2025-01-16T22:49:00+05:30
TXN-000149,ZARV0617958,49173696680314,ZGDV0281209,997066433929,62000.00,UPI,2025-01-16T22:53:00+05:30
TXN-000150,ZGDV0543292,3337619347987285,ZARV0556607,8182324692435618,25500.00,IMPS,2025-01-17T00:05:00+05:30
TXN-000151,ZARV0094460,24117828051503,ZGDV0543292,3337619347987285,430000.00,RTGS,2025-01-17T01:09:48+05:30
TXN-000152,ZARV0556607,8182324692435618,ZNMD0235052,22140184865,24800.00,IMPS,2025-01-17T06:05:00+05:30
TXN-000153,ZNMD0696084,6446483955427888,ZGDV0914516,7027511489681119,1750.00,UPI,2025-01-17T08:54:00+05:30
TXN-000154,ZARV0979572,585873296710,ZGDV0403647,419432812783,860.00,IMPS,2025-01-17T08:56:00+05:30
TXN-000155,ZARV0556607,8182324692435618,ZNMD0235052,22140184865,49200.00,UPI,2025-01-17T09:58:00+05:30
TXN-000156,ZARV0094460,24117828051503,ZGDV0955625,70494902607167,14000.00,UPI,2025-01-17T13:32:00+05:30
TXN-000157,ZNMD0524253,552337400089,ZGDV0264737,650442899703,1460.00,IMPS,2025-01-17T19:13:00+05:30
TXN-000158,ZNMD0700572,31986695700793,ZGDV0955625,70494902607167,890.00,UPI,2025-01-17T19:15:00+05:30
TXN-000159,ZKVR0098532,91924037155,ZGDV0050806,2296589735015940,370.00,UPI,2025-01-17T22:31:00+05:30
TXN-000160,ZKVR0469965,4576041253223734,ZKVR0474112,38690428120812,2970.00,UPI,2025-01-18T10:24:00+05:30
TXN-000161,ZARV0007961,649524061246,ZGDV0842838,6489677170416477,470.00,UPI,2025-01-18T12:21:00+05:30
TXN-000162,ZGDV0199050,13791179552,ZGDV0050806,2296589735015940,680.00,UPI,2025-01-18T12:50:00+05:30
TXN-000163,ZGDV0068266,986554721182,ZGDV0050806,2296589735015940,180.00,UPI,2025-01-18T13:01:00+05:30
TXN-000164,ZGDV0543292,3337619347987285,ZARV0556607,8182324692435618,415600.00,RTGS,2025-01-18T13:09:48+05:30
TXN-000165,ZGDV0197465,51846197404069,ZGDV0403647,419432812783,2000.00,UPI,2025-01-18T14:39:00+05:30
TXN-000166,ZGDV0060249,95785738510033,ZNMD0110114,5305601891569179,21000.00,IMPS,2025-01-18T16:38:00+05:30
TXN-000167,ZKVR0264416,2920955977193273,ZNMD0947097,30344625994126,3130.00,UPI,2025-01-18T17:16:00+05:30
TXN-000168,ZARV0297900,81086604544,ZGDV0050806,2296589735015940,22200.00,UPI,2025-01-18T17:55:00+05:30
TXN-000169,ZGDV0105287,3660851609801178,ZGDV0264737,650442899703,20600.00,UPI,2025-01-18T18:26:00+05:30
TXN-000170,ZKVR0604643,67609492345319,ZNMD0977718,1059547734120898,650.00,UPI,2025-01-18T19:56:00+05:30
TXN-000171,ZNMD0544711,43197849240367,ZKVR0546415,36465882156067,2900.00,UPI,2025-01-18T22:56:00+05:30
TXN-000172,ZGDV0068266,986554721182,ZKVR0261171,4350429360999554,900.00,IMPS,2025-01-19T09:56:00+05:30
TXN-000173,ZARV0556607,8182324692435618,ZNMD0235052,22140184865,403400.00,RTGS,2025-01-19T11:09:48+05:30
TXN-000174,ZGDV0575368,80258747958,ZNMD0990233,7781796239256157,16200.00,UPI,2025-01-19T13:51:00+05:30
TXN-000175,ZKVR0268028,46154561864689,ZKVR0122101,1416049978764998,4620.00,IMPS,2025-01-19T14:52:00+05:30
TXN-000176,ZKVR0546415,36465882156067,ZARV0617958,49173696680314,29500.00,UPI,2025-01-19T19:19:00+05:30
TXN-000177,ZARV0979572,585873296710,ZNMD0977718,1059547734120898,910.00,IMPS,2025-01-19T21:56:00+05:30
TXN-000178,ZNMD0235052,22140184865,ZARV0094460,24117828051503,391600.00,RTGS,2025-01-20T03:09:48+05:30
TXN-000179,ZKVR0853805,42349026862,ZGDV0955625,70494902607167,2800.00,UPI,2025-01-20T08:30:00+05:30
TXN-000180,ZGDV0722792,76055036575658,ZKVR0231395,59372838131746,3000.00,UPI,2025-01-20T18:25:00+05:30
TXN-000181,ZKVR0186058,346793746876,ZNMD0123026,409772186664,4250.00,IMPS,2025-01-20T20:16:00+05:30
TXN-000182,ZGDV0711806,21409016372851,ZKVR0474112,38690428120812,4710.00,UPI,2025-01-21T13:05:00+05:30
TXN-000183,ZARV0104756,56663037718416,ZNMD0977718,1059547734120898,920.00,IMPS,2025-01-21T16:21:00+05:30
TXN-000184,ZKVR0853805,42349026862,ZKVR0231395,59372838131746,7500.00,UPI,2025-01-21T18:27:00+05:30
TXN-000185,ZGDV0279182,64596092578,ZNMD0977718,1059547734120898,2530.00,IMPS,2025-01-21T20:41:00+05:30
TXN-000186,ZARV0880251,3842947850229483,ZKVR0316645,155592538756,3450.00,IMPS,2025-01-21T21:53:00+05:30
TXN-000187,ZNMD0520427,8802759075214784,ZKVR0201615,135967096137,2610.00,UPI,2025-01-21T22:07:00+05:30
TXN-000188,ZKVR0546415,36465882156067,ZKVR0201615,135967096137,18000.00,UPI,2025-01-22T08:31:00+05:30
TXN-000189,ZARV0599465,26965979895120,ZKVR0231395,59372838131746,2800.00,IMPS,2025-01-22T18:38:00+05:30
TXN-000190,ZNMD0520427,8802759075214784,ZKVR0546415,36465882156067,3100.00,UPI,2025-01-22T19:55:00+05:30
TXN-000191,ZARV0599465,26965979895120,ZNMD0123026,409772186664,1110.00,IMPS,2025-01-22T20:07:00+05:30
TXN-000192,ZARV0095529,4584116110641260,ZGDV0403647,419432812783,2300.00,UPI,2025-01-23T10:33:00+05:30
TXN-000193,ZGDV0524175,80468702410,ZGDV0698481,214148069153,740.00,IMPS,2025-01-23T10:35:00+05:30
TXN-000194,ZARV0519176,95519852701,ZGDV0842838,6489677170416477,2460.00,UPI,2025-01-23T11:02:00+05:30
TXN-000195,ZGDV0279182,64596092578,ZGDV0403647,419432812783,1330.00,UPI,2025-01-23T11:23:00+05:30
TXN-000196,ZKVR0546415,36465882156067,ZGDV0403647,419432812783,16600.00,UPI,2025-01-23T11:41:00+05:30
TXN-000197,ZKVR0890873,2960023587937843,ZGDV0264737,650442899703,590.00,UPI,2025-01-23T13:15:00+05:30
TXN-000198,ZARV0094591,56243893730,ZGDV0955625,70494902607167,13270.00,UPI,2025-01-23T16:11:00+05:30
TXN-000199,ZKVR0268028,46154561864689,ZKVR0474112,38690428120812,5260.00,UPI,2025-01-23T16:28:00+05:30
TXN-000200,ZARV0086950,10465577896,ZARV0599465,26965979895120,7000.00,UPI,2025-01-23T18:01:00+05:30
TXN-000201,ZNMD0368668,713450472269,ZKVR0122101,1416049978764998,1680.00,UPI,2025-01-23T18:08:00+05:30
TXN-000202,ZKVR0189294,281714034673,ZNMD0123026,409772186664,24400.00,UPI,2025-01-23T18:30:00+05:30
TXN-000203,ZKVR0711349,311217374552,ZGDV0836188,81300741571,930.00,UPI,2025-01-23T19:12:00+05:30
TXN-000204,ZKVR0469965,4576041253223734,ZKVR0122101,1416049978764998,4160.00,IMPS,2025-01-23T19:38:00+05:30
TXN-000205,ZKVR0329204,4482253497910906,ZNMD0112876,65105240589,980.00,IMPS,2025-01-23T21:08:00+05:30
TXN-000206,ZARV0495419,52382165134,ZGDV0060249,95785738510033,61000.00,UPI,2025-01-23T22:52:00+05:30
TXN-000207,ZNMD0587919,365036192686,ZKVR0278239,273925885283,390.00,IMPS,2025-01-23T22:54:00+05:30
TXN-000208,ZNMD0700572,31986695700793,ZGDV0955625,70494902607167,320.00,UPI,2025-01-24T09:03:00+05:30
TXN-000209,ZGDV0281209,997066433929,ZNMD0977718,1059547734120898,16400.00,IMPS,2025-01-24T11:07:00+05:30
TXN-000210,ZNMD0990233,7781796239256157,ZGDV0836188,81300741571,1370.00,UPI,2025-01-24T11:24:00+05:30
TXN-000211,ZKVR0711349,311217374552,ZGDV0264737,650442899703,4080.00,IMPS,2025-01-24T21:16:00+05:30
TXN-000212,ZARV0779368,247347502388,ZARV0831528,81660304011,2920.00,UPI,2025-01-25T08:43:00+05:30
TXN-000213,ZKVR0711349,311217374552,ZGDV0264737,650442899703,7760.00,UPI,2025-01-25T11:36:00+05:30
TXN-000214,ZNMD0368668,713450472269,ZGDV0050806,2296589735015940,1020.00,UPI,2025-01-25T12:56:00+05:30
TXN-000215,ZNMD0368668,713450472269,ZGDV0050806,2296589735015940,430.00,UPI,2025-01-25T13:06:00+05:30
TXN-000216,ZARV0779368,247347502388,ZARV0831528,81660304011,1400.00,IMPS,2025-01-25T14:21:00+05:30
TXN-000217,ZNMD0520427,8802759075214784,ZGDV0524175,80468702410,8800.00,IMPS,2025-01-25T20:46:00+05:30
TXN-000218,ZKVR0853805,42349026862,ZKVR0278239,273925885283,15200.00,UPI,2025-01-25T22:18:00+05:30
TXN-000219,ZNMD0484562,198354875355,ZKVR0201615,135967096137,23100.00,UPI,2025-01-26T09:48:00+05:30
TXN-000220,ZARV0254988,88934470906800,ZGDV0264737,650442899703,1230.00,IMPS,2025-01-26T13:28:00+05:30
TXN-000221,ZARV0319947,7357326534972855,ZKVR0231395,59372838131746,590.00,IMPS,2025-01-26T15:21:00+05:30
TXN-000222,ZARV0495419,52382165134,ZNMD0110114,5305601891569179,24500.00,UPI,2025-01-26T16:56:00+05:30
